Order,Lock,Vuser,DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
5,Spin Lock,1000,2026-04-13 04:40:50,900,10,0,10.1,2.3,5.0,74.0,370.0,0,0,1.8,2.8
5,Spin Lock,1000,2026-04-13 04:40:52,613,293,0,915.106,580.16,146.5,133.942,19622.5,193,0,227.027,387.451
5,Spin Lock,1000,2026-04-13 04:40:55,155,573,0,911.75,528.438,286.5,165.0,47272.5,573,0,294.834,348.113
5,Spin Lock,1000,2026-04-13 04:40:57,8,26,0,6.077,3.339,13.0,165.0,2145.0,26,0,1.5,2.346
5,Spin Lock,1000,2026-04-13 04:40:59,1,7,0,6.714,1.829,3.5,165.0,577.5,7,0,1.857,2.857
5,Spin Lock,1000,2026-04-13 04:41:01,0,1,0,13.0,0.0,0.5,165.0,82.5,1,0,4.0,5.0
5,Pub/Sub Lock,500,2026-04-13 04:51:57,267,273,0,204.066,156.984,136.5,100.531,13722.5,73,0,74.824,108.806
5,Pub/Sub Lock,500,2026-04-13 04:51:59,22,205,0,304.415,354.387,102.5,165.0,16912.5,205,0,79.346,110.356
5,Pub/Sub Lock,500,2026-04-13 04:52:01,4,18,0,8.833,2.794,9.0,165.0,1485.0,18,0,2.5,3.667
5,Pub/Sub Lock,500,2026-04-13 04:52:03,0,4,0,8.25,2.773,2.0,165.0,330.0,4,0,2.5,3.5
5,Pub/Sub Lock,800,2026-04-13 05:03:11,717,253,0,255.542,291.996,126.5,95.783,12116.5,54,0,95.324,134.506
5,Pub/Sub Lock,800,2026-04-13 05:03:13,127,431,0,858.928,458.348,215.5,164.796,35513.5,430,0,336.153,410.281
5,Pub/Sub Lock,800,2026-04-13 05:03:15,9,109,0,264.734,238.291,54.5,165.0,8992.5,109,0,122.661,155.679
5,Pub/Sub Lock,800,2026-04-13 05:03:17,3,4,0,9.75,3.345,2.0,165.0,330.0,4,0,2.75,3.75
5,Pub/Sub Lock,800,2026-04-13 05:03:19,1,2,0,11.5,0.5,1.0,165.0,165.0,2,0,4.0,5.5
5,Pub/Sub Lock,800,2026-04-13 05:03:21,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,Pub/Sub Lock,800,2026-04-13 05:03:23,0,1,0,11.0,0.0,0.5,165.0,82.5,1,0,3.0,5.0
5,Pub/Sub Lock,1000,2026-04-13 05:14:23,914,194,1,430.758,511.995,97.0,77.0,7469.0,0,0,146.732,182.567
5,Pub/Sub Lock,1000,2026-04-13 05:14:25,426,396,0,837.434,452.1,198.0,163.889,32450.0,391,0,242.303,369.77
5,Pub/Sub Lock,1000,2026-04-13 05:14:27,10,399,0,907.99,423.633,199.5,165.0,32917.5,399,0,216.138,285.932
5,Pub/Sub Lock,1000,2026-04-13 05:14:29,0,10,0,8.1,3.448,5.0,165.0,825.0,10,0,2.2,3.3
5,ZooKeeper Lock,500,2026-04-13 05:25:27,415,89,0,22.921,30.496,44.5,79.0,3515.5,0,0,4.034,8.292
5,ZooKeeper Lock,500,2026-04-13 05:25:29,298,256,0,278.719,267.969,128.0,127.711,16347.0,145,0,102.215,120.535
5,ZooKeeper Lock,500,2026-04-13 05:25:31,42,130,0,99.785,131.701,65.0,165.0,10725.0,130,0,42.3,50.585
5,ZooKeeper Lock,500,2026-04-13 05:25:33,7,22,0,9.227,3.044,11.0,165.0,1815.0,22,0,2.318,3.409
5,ZooKeeper Lock,500,2026-04-13 05:25:35,1,2,0,13.5,0.5,1.0,165.0,165.0,2,0,4.5,6.0
5,ZooKeeper Lock,500,2026-04-13 05:25:37,0,1,0,16.0,0.0,0.5,165.0,82.5,1,0,4.0,5.0
5,ZooKeeper Lock,800,2026-04-13 05:36:41,642,176,0,127.824,130.227,88.0,79.0,6952.0,0,0,44.733,66.261
5,ZooKeeper Lock,800,2026-04-13 05:36:43,445,227,0,499.59,323.136,113.5,155.907,17695.5,203,0,178.947,212.463
5,ZooKeeper Lock,800,2026-04-13 05:36:45,125,286,0,626.049,453.357,143.0,165.0,23595.0,286,0,205.85,237.301
5,ZooKeeper Lock,800,2026-04-13 05:36:47,5,107,0,829.421,289.384,53.5,165.0,8827.5,107,0,237.103,288.86
5,ZooKeeper Lock,800,2026-04-13 05:36:50,1,3,0,11.0,3.559,1.5,165.0,247.5,3,0,3.0,4.0
5,ZooKeeper Lock,800,2026-04-13 05:36:52,0,1,0,13.0,0.0,0.5,165.0,82.5,1,0,3.0,4.0
5,ZooKeeper Lock,1000,2026-04-13 05:47:53,799,336,0,885.973,484.953,168.0,114.577,19249.0,139,0,272.14,360.271
5,ZooKeeper Lock,1000,2026-04-13 05:47:55,318,410,0,548.0,489.223,205.0,164.371,33696.0,407,0,197.127,259.651
5,ZooKeeper Lock,1000,2026-04-13 05:47:57,30,234,0,351.184,378.058,117.0,165.0,19305.0,234,0,143.919,199.782
5,ZooKeeper Lock,1000,2026-04-13 05:47:59,4,17,0,9.059,3.019,8.5,165.0,1402.5,17,0,2.294,3.471
5,ZooKeeper Lock,1000,2026-04-13 05:48:01,2,2,0,13.5,1.5,1.0,165.0,165.0,2,0,3.0,4.5
5,ZooKeeper Lock,1000,2026-04-13 05:48:03,0,1,0,11.0,0.0,0.5,165.0,82.5,1,0,2.0,4.0
5,Adaptive Lock,500,2026-04-22 19:52:48,419,81,0,20.235,21.667,40.5,81.0,3280.5,0,0,4.79,9.691
5,Adaptive Lock,500,2026-04-22 19:52:50,231,311,0,284.138,310.841,155.5,132.859,20659.5,192,0,83.453,109.952
5,Adaptive Lock,500,2026-04-22 19:52:52,25,83,0,5.325,2.223,41.5,165.0,6847.5,83,0,1.277,1.807
5,Adaptive Lock,500,2026-04-22 19:52:54,2,23,0,8.478,2.164,11.5,165.0,1897.5,23,0,2.478,3.739
5,Adaptive Lock,500,2026-04-22 19:52:56,0,2,0,10.5,0.5,1.0,165.0,165.0,2,0,3.0,4.0
5,Adaptive Lock,800,2026-04-22 20:04:02,715,85,0,17.118,22.555,42.5,81.0,3442.5,0,0,2.812,5.553
5,Adaptive Lock,800,2026-04-22 20:04:04,454,406,0,329.931,388.383,203.0,141.207,28665.0,291,0,105.559,132.805
5,Adaptive Lock,800,2026-04-22 20:04:06,24,285,0,557.025,469.781,142.5,165.0,23512.5,285,0,169.565,223.726
5,Adaptive Lock,800,2026-04-22 20:04:08,7,17,0,7.118,2.246,8.5,165.0,1402.5,17,0,1.765,2.824
5,Adaptive Lock,800,2026-04-22 20:04:10,1,6,0,7.5,2.754,3.0,165.0,495.0,6,0,2.0,3.167
5,Adaptive Lock,800,2026-04-22 20:04:12,0,1,0,12.0,0.0,0.5,165.0,82.5,1,0,3.0,5.0
5,Adaptive Lock,1000,2026-04-22 20:15:14,847,153,0,143.608,147.82,76.5,81.0,6196.5,0,0,52.281,90.804
5,Adaptive Lock,1000,2026-04-22 20:15:16,715,314,0,833.287,497.978,157.0,152.427,23931.0,267,0,201.745,306.459
5,Adaptive Lock,1000,2026-04-22 20:15:18,226,411,0,1325.265,633.048,205.5,165.0,33907.5,411,0,343.406,416.718
5,Adaptive Lock,1000,2026-04-22 20:15:20,6,120,0,993.392,540.895,60.0,165.0,9900.0,120,0,315.583,365.25
5,Adaptive Lock,1000,2026-04-22 20:15:22,0,2,0,7.0,1.0,1.0,165.0,165.0,2,0,1.5,2.5
6,Pessimistic Lock,500,2026-04-13 09:26:27,411,94,0,140.777,97.736,47.0,81.0,3807.0,0,0,36.032,52.426
6,Pessimistic Lock,500,2026-04-13 09:26:29,237,252,0,350.687,253.29,126.0,129.667,16338.0,146,0,130.242,188.865
6,Pessimistic Lock,500,2026-04-13 09:26:31,10,144,0,539.549,356.107,72.0,165.0,11880.0,144,0,157.007,192.194
